Sentiment,Headline
positive,Aston Villa boss Unai Emery plans to speak to goalkeeper Emiliano Martinez about his celebrations following Argentina's World Cup win.
neutral,"The handset also features a Media Bar for quick access to favorite media and applications , including music , photos , YouTube or Ovi Share ."
positive,"The musician tells Jamie Oliver, who is guest editing R4's Today, how cooking is a space for his neurodiversity."
negative,"The rapper accuses Drake of using her ordeal in an alleged 2020 shooting for ""clout"" in a new track."
positive,Watch highlights as England produce a dominant display to beat Senegal 3-0 and reach the World Cup quarter-finals.
positive,"Kesko pursues a strategy of healthy , focused growth concentrating on sales and services to consumer-customers ."
negative,A man and a woman are charged with neglect and have been remanded in custody.
positive,"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier ."
positive,The Christmas Eve service was organised by the Princess of Wales and featured tributes to the late Queen.
positive,"In recent months , Capman has taken significant steps to simplify its operations , CEO Lennart Simonsen said ."
negative,Disciplinary proceedings over charges resulting from racism allegations at Yorkshire will take place in public.
neutral,The manufacturing will begin in Pietarsaari in the beginning of the year 2009 and the delivery will take place in October 2009 .
positive,"South Korea's players are overwhelmed with joy, while Luis Suarez and Uruguay cried tears of disbelief following a dramatic conclusion to Group H."
positive,It will combine and renew the contents and functionality of the current systems for funding and online service as well as their maintenance .
negative,"The business is synonymous with the former president, but neither he or his family were on trial."
negative,British Jews talk about the dilemma of listening to the rapper after his antisemitic comments.
positive,"Croatia, runners-up four years ago, start their World Cup campaign with a goalless draw against a well-drilled Morocco at Al Bayt Stadium."
negative,An ultra pro-Trump congresswoman and an anti-Trump Senate candidate are both Republicans in the same state.
neutral,"The companies will divest to UPM Fray Bentos pulp mill and Forestal Oriental , a company specialising in eucalyptus cultivation ."
negative,"As Liz Truss's political future hangs in the balance, Tory MPs are plotting ways to oust her."
negative,The OBR says Britain's economy will shrink next year and grow only slowly in the years after that.
neutral,Antniemi refuted a report by the Finnish daily Turun Sanomat as if the company was reorganizing its operations in the Baltic countries .
negative,Andrew Harding reports on one familyÃ¢ÂÂs agonising loss in Somalia amid growing fears of a famine.
neutral,"The new system , which will include 60 MC3090 PDAs from Motorola , to be used by 60 Poundstretcher operatives across 3 shifts , will integrate in real-time with the company s existing Warehouse Management System , Aldata G.O.L.D Stock , which went live in May 2008 ."
positive,The home secretary says Michael Lockwood is the subject of a probe into a historical allegation.
positive,"Republican Kevin McCarthy is seeking to become Speaker, one of the most powerful roles in US politics."
positive,Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .
neutral,"Simultaneously , Alma Media has purchased a 35 % share of Arena Interactive , a subsidiary of Arena Partners with a focus on mobile solutions development ."
positive,"Conroy voiced Batman in animated TV shows, feature films and video games for nearly 30 years."
negative,"Over-50s can get another Covid booster, as can younger people who are at higher risk, and NHS staff."
neutral,"Most recently , he founded Virent Energy Systems , Inc. , an 80 person catalytic biofuels company , where , as president and CEO , he led the company through multiple financings , defined the company 's market strategy , and secured the company 's first customers ."
negative,But there is confusion over who is being blamed in the latest trailer of the Harry and Meghan series.
negative,How have the revelations behind Harvey Weinstein's court cases changed how Hollywood works?
positive,Rail strikes over the festive period and the row over World Cup host Qatar's approach to LGBT causes lead the papers.
positive,"Kai Tulonen , Chief Technology Officer , SysOpen Digia says : `` Mobility Business Suite represents a significant milestone in the company 's offering to the telecommunications industry ."
neutral,The value of the contract is in total USD12m .
neutral,"We now have both the opportunity and the responsibility to create a new journalistic culture to serve the readers of Alma Media 's newspapers , `` says Hannu Ollikainen , head of the new Helsinki desk ."
neutral,"The total donation amount is EUR 1,115,000 ."
negative,Clashes break out after unidentified men attack placards at a Hong Kong pro-democracy protest.
neutral,"CS Cabot exports 55 % of its production mainly to Goodyear , Bridgestone and Michelin plants in Poland , as well as to Germany 's Michelin or Italy 's Pirelli through the company 's logistics center in Paris , Stefan said ."
positive,Following Wales at the tournament has given supporters a series of emotional highs and lows.
negative,"According to CEO Matti Perkonoja of the parent company HKScan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 ."
negative,Fresh accusations emerge in South Africa against former teacher at Boris Johnson's elite prep school.
positive,`` Leipurin is a growing and rapidly internationalizing Group .
negative,"Brazil great Pele's cancer is advancing, according to the hospital where the 82-year-old is being treated."
negative,"With no return to devolved government, the NI secretary must now call an election within 12 weeks."
positive,"The 1.9km (1.2 mile) long train, which is composed of 100 coaches, has completed a 25km journey."
neutral,"Meanwhile , Alfa owns 25.1 % of MegaFon through Altimo , and 4.99 % of Turkcell via an 18.5 % stake in Cukurova Holding ."
positive,"Finnish pharmaceuticals company Orion reports profit before taxes of EUR 70.0 mn in the third quarter of 2010 , up from EUR 54.9 mn in the corresponding period in 2009 ."
neutral,The sellers were EOSS Innovationsmanagement and a group of private individuals .
neutral,Salcomp Manufacturing Oy will pay EUR 35 million in cash to Salcomp in connection with the implementation of the sale and transfer of the Business .
negative,The latest move by Afghanistan's Islamist rulers is condemned by the United Nations and the US.
negative,Russian murderers and drug dealers who have served their time face being sent to serve in Ukraine.
neutral,Dragonfly Love is another video shot from start to finish using the Nokia N8 .
negative,"A Ukrainian official said two sites were found near Lyman, with one estimated to hold 200 dead."
neutral,And that 's exactly what happened on a recent weekday when an East Haven baker was brought in to remind residents about the Easter tradition of making wheat and rice pies .
negative,"The family of Leonid Yevseyev, a Ukrainian prisoner of war, still hope for his safe return."
positive,The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million .
negative,ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .
positive,"A mix of factors are at play and greater awareness is needed, the researchers say."
positive,`` Residentialconstruction in particular has picked up in several markets .
neutral,"The change in holdings in accordance with Chapter 2 , Section 9 of the Finnish Securities Markets Act is described below ."
positive,Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .
neutral,"After the split , the number of K shares will be 9 540 000 and the number of A shares 26 885 540 ."
negative,A crowd gathered in Karaj amid reports authorities were preparing to execute another two protesters.
positive,Gary O'Neil's Bournemouth cruise to victory over Everton in a meeting of much-changed Premier League sides in the Carabao Cup.
positive,Germany crash out of the World Cup on a remarkable night of drama despite a 4-2 victory over Costa Rica at Al Bayt Stadium.
neutral,"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company ."
neutral,"In the Czech Republic , the smaller profiling unit at Ostrava will be closed and the machinery will be gradually relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 ."
negative,"Rishi Sunak says there's no ""simple solution"" to illegal migration, after meeting President Macron."
neutral,He wore a black beanie-type cap and a black jacket .
positive,"Kherson, in southern Ukraine, is seen as a vital city for Ukraine to capture and for Russia to defend."
negative,"Unite says NHS talks were a ""missed opportunity"", as unions say this week's strikes will go ahead."
negative,The cost of pet food has soared in Australia due to the pandemic and the Ukraine war.
positive,"Female competitors at Wimbledon will be allowed to wear dark-coloured undershorts from next year to ""relieve anxiety"" of playing on their period."
positive,New product launches in Finland will more than double from 2005 .
negative,More cancelled appointments and medical disruption as nurses strike again - by the BBCÃ¢ÂÂs Zoe Conway.
negative,"The 25-year-old campaigned on gun violence, climate change and expanded healthcare - galvanising young voters."
neutral,"ASPOCOMP GROUP OYJ STOCK EXCHANGE RELEASE December 15 , 2006 at 4:50 PM According to the disclosure received today by Aspocomp Group Oyj , the share of Henrik Nyberg in Aspocomp Group Oyj 's share capital and votes has decreased below 5 percent ."
positive,"Donald Trump shares a love for Twitter with Elon Musk, its new owner, but times have changed."
positive,The sale of the Healthcare Trade business supports Oriola-KD 's strategy to focus on Pharmaceutical Wholesale and Retail businesses .
positive,The United States are in the World Cup last 16 - but will Christian Pulisic be with them when they take on the Netherlands on Saturday?
negative,"BBC broadcaster Alex Scott says the domestic abuse she experienced during her childhood is ""still so raw""."
positive,Arsenal are through to the quarter-finals of the Women's Champions League despite losing to holders Lyon in a match marred by an injury to striker Vivianne Miedema.
neutral,"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '"
positive,Marcus Rashford scores twice and assists another as Manchester United come from behind to beat Omonia Nicosia on Thursday.
positive,"Pakistan batter Shan Masood has lived, been educated and played in England. On Sunday he will try to end their T20 World Cup dream."
neutral,`` There is no room to modify the share component as we have already indicated . ''
negative,Homeowners are worried about rising mortgage costs - but lenders must help those struggling.
neutral,"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson ."
positive,The home secretary will finalise a deal with the French to try to curb Channel crossings in small boats.
positive,Wales' hopes of reaching a first major tournament come to an agonising end as Switzerland fight back to win a dramatic World Cup play-off final in the dying seconds of extra time.
positive,President and CEO Mika Vehvil+Ãinen says the positive signs are first and foremost emerging outside Finland .
positive,"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 ."
positive,"Metsaliitto , however , narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago ."
neutral,"Nevertheless , the development can not be allowed to ruin the print newspaper , which continues to be Sanoma News ' main medium ."
positive,A terminally-ill father was able to meet his first grandchild after his daughter had IVF treatment.
positive,Singapore in May 2011 1 July 2010 - Finnish air carrier Finnair Oyj ( HEL : FIA1S ) said today it will open a daily route to Singapore on 30 May 2011 as part of its growth strategy in Asia .
negative,Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .
positive,"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn ."
neutral,ND = Not disclosed .
positive,Christian Eriksen and Marcus Rashford score as Manchester United see off Burnley at Old Trafford in the Carabao Cup fourth round.
negative,"In addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed ."
neutral,"Purchase it for the 12MP snapper , if nothing else ."
negative,A Tory MP says the former prime ministers are backing his bid to overturn a ban on new turbines.
negative,Coroner Graeme Hughes concludes Gareth Roberts and Dominga David died of industrial disease.
negative,Heathrow and Gatwick also cancel flights after fog and snow sweeps the country.
negative,Cities in Tigray are reportedly being carpet bombed as food and medical supplies are running out.
positive,"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 ."
positive,"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland ."
negative,A girl is in a life-threatening condition after a shooting which injured another child and four women.
neutral,` Pulp and paper industries are growing in countries like China and Russia .
positive,The company said it estimates to make a slight profit thanks to cost-cutting measures .
negative,"Match of the Day 2 pundit Jermaine Jenas analyses Manchester United's ""shocking"" display in their 6-3 Premier League derby defeat at Manchester City."
neutral,The Moscow Metro ( www.mosmetro.ru ) was the first metro system in Europe to implement smart cards together with a new type of magnetic card in 1998 .
negative,The president blames al-Shabab militants for being behind what he describes as a cowardly attack.
negative,West Bromwich Albion women will wear navy shorts because of concerns about having to wear white while on their periods.
positive,"More than 100 flood warnings are in place across the UK, as a cold weather alert is also issued."
neutral,"ALEXANDRIA , Va. , Oct. 6 -- United States Patent no. 7,804,288 , issued on Sept. 28 , was assigned to Vacon Oyj ( Vaasa , Finland ) ."
positive,"` For Nordea , moving into the new headquarters signifies the beginning of a new era ."
neutral,"Niina Nenonen , Marimekko 's current director for clothing , bags and accessories lines , will take up this role ."
neutral,"This could be any of us at any time , '' she said ."
negative,Adrian Kwiatkowski offered the songs in exchange for cryptocurrency on the dark web.
negative,Rasoul says his young family was forced at gunpoint on to an overcrowded boat across the Channel.
neutral,Incap estimates it will generate a revenue of 10 mln euro ( $ 13.2 mln ) from its Indian operations for 2007 .
positive,"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier ."
positive,The company intends to raise production capacity in 2006 .
neutral,UPM-Kymmene said its has ` not indicated any interest in any domestic consolidations ' .
negative,BBC Sport's Jermaine Jenas and Martin Keown react to England's 2-1 defeat by France in the 2022 World Cup quarter-finals.
neutral,BioTie North-American licensing partner Somaxon Pharmaceuticals started a phase II-III clinical study in patients suffering from pathological gambling and a pilot phase II study in nicotine addiction smoking cessation .
neutral,"In Finland , the corresponding service is Alma Media 's Etuovi.com , Finland 's most popular and best known nationwide online service for home and property sales ."
negative,"The suspect was found dead nearby after the incident at the immigration centre in Dover, police say."
neutral,"According to Finnair Technical Services , the measure is above all due to the employment situation ."
negative,Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .
positive,"Readers tell BBC News how they are managing to stay warm, without yet turning on the heating."
neutral,- Cash flow from operating activities before investments was EUR 0.8 -1.2 million .
negative,Leeds boss Jesse Marsch apologises for failing to acknowledge club's fans after 2-0 loss to fellow strugglers Leicester City.
positive,A profit is still on target .
negative,The man whose wife and children died after a flat fire says they were set to join him in the US.
positive,Also Lemmink+Ãinen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .
neutral,"Under the plan , which CSES worked out together with Public Policy Management Institute ( PPMI ) and other partners , buildings with a total area of 10,000 square meters should be built on the territory in the first phase ."
neutral,"As part of the agreement , Aspocomp will also give Meadville a 10 pct slice of a subsidiary operating in Oulu , Finland ."
negative,"Last year , UPM cut production , closed mills in Finland and slashed 700 jobs ."
neutral,"The transaction is subject to a final agreement between the parties , approvals of their decision-making bodies and approval by the Finnish Competition Authority ."
positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 ."
positive,The Pulitzer Prize-winning journalist is the creme de la creme of celebrity ghostwriters.
positive,"Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 ."
neutral,"A structures BIM ( building information modeling ) software from Tekla , a model-based software provider , has been adopted for the construction management and delivery of a university project in Abu Dhabi ."
neutral,"Consisting of seven interconnected units , Mega Image 's logistics center will be 347 metres in length and 12 metres in height ."
neutral,The order is a follow-on to an 11 mln euro ( $ 16.1 mln ) deal made in July 2007 .
negative,Rishi Sunak is coming under growing pressure to do a U-turn on attending the UN climate summit.
neutral,"BasWare is headquartered in Espoo , Finland ."
neutral,Finnish Benefon denies claims made in the press that the company is giving up its mobile handset business .
neutral,26 January 2011 - Finnish software solutions provider Basware ( HEL : BAS1V ) said yesterday it adjusted its strategy and goals for the next four years with focus on international growth mainly via acquisitions .
neutral,Nokia has inaugurated its manufacturing plant near Chennai on 11 Mar 2006 .
neutral,The transaction will take place without payment of merger consideration .
positive,"The ship fires its main engine near the Moon, committing itself to a return to Earth on Sunday."
negative,"The new prime minister says there are ""difficult decisions to come"" and that could affect our finances."
neutral,The German subsidiary will produce software development services for Ixonos Telecommunications Business Unit 's client projects .
neutral,"Following the increase , Huhtamaki Oyj 's registered share capital is EUR 358,706,290.00 and the number of shares outstanding is 105,501,850 ."
neutral,"A local waste management company , Turun Seudun J+Ãtehuolto , has planned to set up a 150,000 tonne waste-burning facility ."
positive,"MD Henning Bahr of Stockmann Gruppen praises the trend , since the chains become stronger and their decision-making processes more clear ."
positive,A new extinction list reveals grave conservation concern for a 'sea cow' that inspired tales of mermaids.
negative,"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn ."
neutral,"Maximum amount of terminations in Finland is 40 employees , the company added ."
positive,"After Cristiano Ronaldo was left out of the squad to face Chelsea on Saturday, does the Portugal forward have a future at Manchester United?"
negative,BBC correspondents on how the new economic plan will affect your household budget.
negative,Miners in Somaliland are uprooting centuries-old trees used since antiquity to make perfume.
neutral,Almost two thirds of Olvi 's net sales come from outside Finland .
positive,Campaigner Heidi Crowter says she will keep fighting and take her case to the Supreme Court.
negative,Beijing is finally opening its borders - but some countries are wary of a Covid threat.
positive,"Aston Villa boss Steven Gerrard says he ""won't hide from the noise"" as his side were booed off after defeat, but an encouraging display, against Chelsea."
negative,The 16-year-old victims died just a mile apart in south-east London on Saturday.
positive,"It's elk rutting season out West, but how is their nails-on-chalkboard call attractive to females?"
negative,People are being advised not to travel on the railways as workers continue strikes on Saturday.
neutral,"This implementation is very important to the operator , since it is about to launch its Fixed-to-Mobile convergence service in Brazil see Brazil : 8 May 2006 : ."
negative,New research shows a genetic link between African ancestry and triple negative breast cancer.
positive,There are signs that a breakthrough on a potentially historic deal at a summit in Egypt is within reach.
positive,"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers ."
positive,"Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology ."
negative,"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+Â ??"
neutral,Basware finances the acquisition with a bank loan .
neutral,"S Group 's loyal customer magazine Yhteishyv+Ã came second with 1,629,000 readers and Sanoma Corporation 's daily newspaper Helsingin Sanomat was third with 1,097,000 readers ."
negative,The current lay-offs are additional to the temporary lay-offs agreed in December 2008 and in May 2009 .
negative,"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 ."
negative,Police say four men have also been arrested after searches in east Belfast on Friday night.
negative,"Lottery numbers, the Queen's death and elections couldn't outperform US search interest in one thing..."
neutral,EB will hold the exclusive rights to market the new entity 's product .
neutral,"The study is expected to provide proof of pharmacodynamic activity in humans , corroborate the safety profile and establish dose ranges for further therapeutic studies ."
negative,Two British nationals are reported missing in Ukraine. Here's what we know so far.
negative,"Exports of goods fell by 59 % , and imports by 16.7 % ."
negative,"Post, teachers, lecturers - they're all on strike. Here's a simple rundown of why and how."
neutral,The event can also be viewed as a live webcast at www.cargotec.com .
negative,The BBC spoke to a striking worker on the picket line and someone who chose to work on Friday.
neutral,"The mall is part of the Baltic Pearl development project in the city of St Petersburg , where Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing homes for 35,000 people ."
neutral,The tower 's engineers have created an 18 degree westward lean - four times the inclination on the Leaning Tower of Pisa - using diagrid structures that are aligned geometrically using Tekla Structures BIM ( Building Information Modeling ) software .
negative,England in control of warm-up fixture with the Lions despite Haseeb Hameed's century.
positive,"`` Neste Oil has responded to the challenge posed by the European Union 's target of biofuels accounting for 5.8 % of traffic fuel usage in the EU by 2010 by developing its NExBTL technology for producing diesel fuel from renewables , '' the federation said ."
neutral,The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China .
neutral,"Estonia 's Agriculture Minister Helir-Valdor Seeder is in Finland on a two-day visit , in the course of which he will meet with his Finnish counterpart Sirkka-Liisa Anttila ."
negative,"`` We cut our frequency to New York last year , which explains the fall , '' he said ."
negative,"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier ."
negative,Former England captain Alan Shearer says he hopes the Three Lions stick to the attacking approach shown against Iran when they face USA and Wales.
positive,Pressure builds on the government as a campaign to expand eligibility for free school meals grows.
positive,The ex-health secretary - who backed Rishi Sunak in the leadership race - takes over at a crucial time.
positive,"Celtic will go into next week's ""showcase"" Glasgow derby on a run of 12 straight Scottish Premiership wins after thumping Hibernian at Easter Road."
neutral,"It 's even a little bit higher than Yara 's multiples on itself , ' an analyst in Helsinki said ."
positive,"The world's largest volcano, in Hawaii, is erupting for the first time in almost forty years."
negative,"Azeem Rafiq says he has ""been driven out of the country"" by ""threats and abuse"" since ""opening his heart out"" about racism at Yorkshire."
neutral,"Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole authority to develop discovered compounds ."
positive,"Like the Fosbury Flop in high jump or Netherlands' brand of 'total football', England could be changing Test cricket forever, says chief cricket writer Stephan Shemilt."
neutral,This corresponds to 6.81 percent of Okmetic 's share capital and voting rights .
negative,"After wreaking deadly havoc in Florida, Ian smashes piers in South Carolina and floods neighbourhoods."
neutral,"Back then , Tikkurila 's former owner , Finnish chemicals company Kemira Oyj HEL : KRA1V , distributed an 86 % stake to Kemira shareholders to facilitate the divestment and listing of Tikkurila ."
negative,"Scientists say climate change is making more than half of all infectious diseases worse, here's why."
negative,A woman says she feared for her life during a crush at a gig where several people were badly hurt.
positive,"A walrus, which has drawn large crowds since arriving in Scarborough on Saturday, is filmed returning to the sea."
positive,Pretax profit jumped to EUR 21.9 million from EUR 3.1 million .
neutral,"The Annual General Meeting approved a dividend of EUR 0.10 per share , that is , a total of EUR 7,8 million ."
neutral,"Incap , headquartered in Oulu , Finland , is a electronics contract manufacturer with some 750 employees in Finland , Estonia and India ."
positive,"Brazilian non-profit interbank Camara Interbancaria de Pagamentos CIP has acquired solutions from US business integration solutions provider Sterling Commerce , the latter company said in a statement ."
neutral,It will provide heating in the form of hot water for the sawmill 's needs .
neutral,High winds also toppled three semi-trailers on I-15 north of Barstow .
positive,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .
positive,Revelations from Prince Harry's memoir have upended a carefully co-ordinated marketing strategy.
negative,"Isolation from sport is one of the many consequences of Russia's war in Ukraine, says Steve Rosenberg."
